tm_depth,lat,long,ground_elev
620,38.481953,-102.046112,3899
1110,38.773572,-102.047014,3938
643,38.506482,-102.047053,3923
1102,38.777328,-102.047064,3950
375,38.752188,-102.047304,3942
1077,38.771051,-102.048623,3936
1073,38.778978,-102.050254,3933
1092,38.775358,-102.051124,3949
1127,38.802548,-102.051425,3878
1101,38.799258,-102.051465,3882
1115,38.770124,-102.051876,3938
1502,39.705635,-102.052881,3626
1637,39.84159,-102.053343,3755
1530,39.76292,-102.05342,3722
1536,39.75347,-102.05397,3739
1648,39.84655,-102.054202,3759
1544,39.77199,-102.05452,3739
1506,39.76571,-102.0546,3707
1198,38.796837,-102.054683,3885
1294,38.821237,-102.055015,3896
1186,38.818954,-102.055057,3891
505,38.759786,-102.055974,3942
1606,39.807054,-102.056192,3747
1490,39.889033,-102.056252,3576
1760,39.836834,-102.056692,3762
1658,39.84325,-102.05705,3761
1620,39.865783,-102.057172,3652
1488,39.88692,-102.05749,3557
1670,39.8505,-102.05763,3765
1546,39.75321,-102.05861,3746
1538,39.76619,-102.05929,3717
1518,39.76229,-102.05948,3727
1302,38.822114,-102.059833,3899
1223,38.818244,-102.059852,3887
2421,40.929131,-102.06001,3613
1544,39.76905,-102.06004,3729
1470,39.88556,-102.06036,3528
510,38.759738,-102.060675,3951
1540,39.7751,-102.06075,3734
463,38.391404,-102.061092,3859
1576,39.88007,-102.06159,3614
1547,39.7516,-102.06209,3758
1540,39.76033,-102.06256,3750
1527,39.76446,-102.06273,3740
1632,39.83914,-102.062919,3766
1540,39.77306,-102.06298,3745
1550,39.75687,-102.0631,3748
1506,39.76817,-102.06317,3741
1595,39.80106,-102.06403,3755
630,38.788858,-102.064975,3890
1479,39.71364,-102.06509,3667
1660,39.84513,-102.06515,3768
1572,39.80747,-102.06556,3746
1505,39.702445,-102.065631,3694
1410,39.71017,-102.06592,3711
1520,39.70614,-102.06622,3698
1654,39.84112,-102.066596,3770
674,38.516172,-102.067373,3959
1609,39.85291,-102.067386,3715
1438,39.71501,-102.06747,3632
1548,39.75228,-102.06795,3767
894,38.6646,-102.067959,3855
1546,39.76079,-102.06831,3757
1754,39.534647,-102.06844,3868
1646,39.763598,-102.068511,3750
1479,39.71006,-102.06871,3723
1592,39.8752,-102.06899,3661
1462,39.70526,-102.07063,3707
1462,39.71255,-102.07176,3710
1451,39.71733,-102.07178,3678
1634,39.839853,-102.073158,3737
1985,40.13562,-102.073304,3606
1976,40.13924,-102.073364,3620
1645,39.800804,-102.073532,3765
1712,40.015961,-102.074014,3579
1226,38.80328,-102.074168,3888
1615,39.80819,-102.07417,3765
890,38.65729,-102.074174,3961
1640,39.83133,-102.07443,3770
1300,38.811227,-102.074465,3902
618,38.814837,-102.074645,3893
