API_NUMBER,qi,di,b,sqrt_error,skipped_days,TimeStamp
5123407790000,185.79049,0.00346,0.001,40.52247936,0,2/11/2019 19:28
5123407830000,563.41721,0.02459,0.74545,74.77561621,16,2/11/2019 19:28
5123407860000,624.31906,0.08255,2,249.0686675,0,2/11/2019 19:30
5123407920000,516.267,0.05577,1.4028,15.03767584,36,2/11/2019 19:30
5123409090000,715.18119,0.02082,1.31299,21.1981066,35,2/11/2019 19:32
5123409180000,371.49398,0.00363,0.16094,29.69488844,0,2/11/2019 19:32
5123409620000,187.50201,0.00445,0.37189,4.468764056,42,2/11/2019 19:32
5123409670000,476.92149,0.00262,0.001,34.16548718,44,2/11/2019 19:33
5123411620000,336.48141,0.01737,1.22423,11.02006512,31,2/11/2019 19:34
5123411910000,629.10252,0.01986,0.78658,21.71757446,32,2/11/2019 19:35
5123412550000,628.64426,0.01217,1.05883,22.17164118,9,2/11/2019 19:36
5123413510000,455.82353,0.00531,0.63799,15.04367578,24,2/11/2019 19:36
5123413510000,455.82353,0.00531,0.63799,15.04367578,24,2/11/2019 19:36
5123413520000,399.0627,0.00649,0.35542,44.1102438,22,2/11/2019 19:37
5123414150000,683.52871,0.05185,1.06367,34.4320046,41,2/11/2019 19:37
5123414880000,486.16335,0.00602,0.10768,31.72559938,26,2/11/2019 19:39
5123415050000,497.13613,0.01312,1.15178,13.76985295,48,2/11/2019 19:39
5123417090000,449.12274,0.00611,0.30985,15.9163685,28,2/11/2019 19:40
5123417920000,679.38445,0.00906,0.38711,26.0699306,52,2/11/2019 19:41
5123417930000,574.93815,0.01079,0.59258,16.39278848,52,2/11/2019 19:42
5123388890000,81.76283,0.03294,1.22547,3.779298652,0,2/11/2019 19:42
5123389040000,339.49763,0.04168,1.09578,8.541251003,10,2/11/2019 19:42
5123389050000,398.4274,0.0203,0.8456,6.996409718,13,2/11/2019 19:43
5123389460000,145.55451,0.00528,0.73587,6.991943063,0,2/11/2019 19:44
5123389620000,266.75367,0.00824,0.71111,14.12074715,36,2/11/2019 19:45
5123389810000,581.9902,0.00219,0.24591,43.91716086,44,2/11/2019 19:48
